"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658681, LBL: Tint)","HR, % (SEN S/N: 20658681, LBL: HR)","Intensidad, lux (SEN S/N: 20658681, LBL: Luz)","Temp, °C (SEN S/N: 20658681, LBL: Tsup-Claraboya int)"
12/19/20 20:00:00,6.940,45.599,11.8,9.114
12/19/20 20:15:00,7.268,46.711,11.8,25.234
12/19/20 20:30:00,8.369,43.682,3.9,17.415
12/19/20 20:45:00,7.820,43.059,11.8,12.968
12/19/20 21:00:00,7.192,43.787,11.8,11.734
12/19/20 21:15:00,6.687,44.033,11.8,11.151
12/19/20 21:30:00,6.102,44.576,11.8,10.712
12/19/20 21:45:00,5.514,45.389,11.8,10.320
12/19/20 22:00:00,5.102,46.766,3.9,10.051
12/19/20 22:15:00,4.688,46.106,11.8,9.731
12/19/20 22:30:00,4.350,46.941,3.9,9.509
12/19/20 22:45:00,3.985,46.591,3.9,9.312
12/19/20 23:00:00,3.512,46.106,11.8,8.965
12/19/20 23:15:00,3.221,46.733,3.9,8.841
12/19/20 23:30:00,2.823,46.862,3.9,8.593
12/19/20 23:45:00,2.236,46.725,3.9,8.295
12/20/20 00:00:00,1.994,46.603,3.9,8.095
12/20/20 00:15:00,1.832,47.272,3.9,8.070
12/20/20 00:30:00,1.507,47.588,3.9,7.820
12/20/20 00:45:00,1.044,47.257,3.9,7.594
12/20/20 01:00:00,0.632,47.382,3.9,7.444
12/20/20 01:15:00,0.246,47.628,3.9,7.242
12/20/20 01:30:00,-0.032,47.532,3.9,7.116
12/20/20 01:45:00,-0.143,47.338,11.8,7.091
12/20/20 02:00:00,-0.171,47.810,3.9,7.066
12/20/20 02:15:00,-0.199,48.252,11.8,7.041
12/20/20 02:30:00,-0.088,48.059,3.9,6.990
12/20/20 02:45:00,-0.032,48.809,3.9,6.990
12/20/20 03:00:00,-0.088,49.008,3.9,6.889
12/20/20 03:15:00,-0.199,49.022,3.9,6.788
12/20/20 03:30:00,-0.395,48.552,3.9,6.712
12/20/20 03:45:00,-0.451,50.756,3.9,6.585
12/20/20 04:00:00,-0.479,51.134,3.9,6.560
12/20/20 04:15:00,-0.563,50.740,3.9,6.509
12/20/20 04:30:00,-0.648,50.845,3.9,6.433
12/20/20 04:45:00,-0.817,50.557,11.8,6.306
12/20/20 05:00:00,-0.930,50.981,11.8,6.357
12/20/20 05:15:00,-0.845,51.784,82.8,6.306
12/20/20 05:30:00,-0.395,51.087,232.6,6.535
12/20/20 05:45:00,0.329,51.014,429.7,6.788
12/20/20 06:00:00,1.371,52.605,650.4,7.167
12/20/20 06:15:00,3.195,50.087,689.8,8.220
12/20/20 06:30:00,5.514,49.027,894.8,9.163
12/20/20 06:45:00,8.469,46.652,808.1,10.247
12/20/20 07:00:00,11.053,44.131,1596.5,11.516
12/20/20 07:15:00,14.122,41.537,2274.5,13.161
12/20/20 07:30:00,16.796,39.438,2085.3,14.553
12/20/20 07:45:00,18.842,38.816,2400.6,16.249
12/20/20 08:00:00,20.913,38.350,2708.1,17.891
12/20/20 08:15:00,22.920,37.507,3007.7,19.365
12/20/20 08:30:00,24.798,36.107,3259.9,20.579
12/20/20 08:45:00,27.161,36.070,3606.8,45.940
12/20/20 09:00:00,32.073,32.841,4016.8,49.208
12/20/20 09:15:00,33.548,29.908,4276.9,33.183
12/20/20 09:30:00,34.413,30.186,4639.6,32.846
12/20/20 09:45:00,36.039,28.508,5144.2,33.757
12/20/20 10:00:00,37.288,27.623,5554.1,32.355
12/20/20 10:15:00,35.609,25.921,4750.0,26.720
12/20/20 10:30:00,36.389,26.152,3252.1,28.593
12/20/20 10:45:00,36.444,26.156,3717.2,28.891
12/20/20 11:00:00,37.618,25.817,5845.8,29.490
12/20/20 11:15:00,39.234,25.790,5822.2,30.041
12/20/20 11:30:00,39.346,26.435,6279.4,29.565
12/20/20 11:45:00,40.200,25.609,4426.7,29.665
12/20/20 12:00:00,41.327,24.582,7446.2,31.026
12/20/20 12:15:00,44.503,25.084,8281.9,32.949
12/20/20 12:30:00,42.654,22.517,6216.3,29.715
12/20/20 12:45:00,38.812,20.989,4891.9,27.628
12/20/20 13:00:00,33.313,22.918,4458.3,23.785
12/20/20 13:15:00,27.087,23.484,2077.4,20.007
12/20/20 13:30:00,19.555,27.470,508.5,16.129
12/20/20 13:45:00,14.625,31.339,516.4,14.146
12/20/20 14:00:00,12.050,32.282,1005.2,13.185
12/20/20 14:15:00,10.834,33.848,603.1,12.654
12/20/20 14:30:00,9.903,38.791,831.7,12.316
12/20/20 14:45:00,9.386,39.429,839.6,12.074
12/20/20 15:00:00,9.139,39.653,831.7,11.977
12/20/20 15:15:00,8.717,40.454,618.9,11.565
12/20/20 15:30:00,8.245,41.057,508.5,11.297
12/20/20 15:45:00,7.995,42.770,650.4,11.175
12/20/20 16:00:00,7.720,47.472,571.6,10.761
12/20/20 16:15:00,7.242,48.565,453.3,10.443
12/20/20 16:30:00,6.839,47.904,350.8,10.296
12/20/20 16:45:00,6.535,47.013,303.5,10.198
12/20/20 17:00:00,6.433,47.699,461.2,10.149
12/20/20 17:15:00,6.585,49.203,626.8,10.271
12/20/20 17:30:00,6.737,49.284,555.8,10.271
12/20/20 17:45:00,6.687,50.453,335.1,10.124
12/20/20 18:00:00,6.382,52.239,185.3,9.854
12/20/20 18:15:00,6.484,55.225,51.2,26.646
12/20/20 18:30:00,8.965,54.200,11.8,33.391
12/20/20 18:45:00,10.271,49.673,11.8,22.130
12/20/20 19:00:00,9.163,50.069,11.8,15.485
12/20/20 19:15:00,8.195,51.598,3.9,13.497
12/20/20 19:30:00,7.544,52.466,11.8,12.509
12/20/20 19:45:00,7.091,53.773,11.8,11.953
12/20/20 20:00:00,6.813,54.416,3.9,11.589
12/20/20 20:15:00,6.585,55.004,3.9,11.273
12/20/20 20:30:00,6.408,55.243,3.9,11.005
12/20/20 20:45:00,6.306,56.818,3.9,10.834
12/20/20 21:00:00,6.204,57.447,3.9,10.638
12/20/20 21:15:00,6.077,57.983,3.9,10.492
12/20/20 21:30:00,5.949,58.779,11.8,10.320
12/20/20 21:45:00,5.796,61.418,3.9,10.124
12/20/20 22:00:00,5.796,61.908,3.9,10.100
12/20/20 22:15:00,5.847,62.089,11.8,10.001
12/20/20 22:30:00,5.872,63.498,3.9,9.952
12/20/20 22:45:00,5.796,63.027,3.9,9.829
12/20/20 23:00:00,5.719,61.463,3.9,9.780
12/20/20 23:15:00,5.642,60.614,3.9,9.731
12/20/20 23:30:00,5.616,60.667,3.9,9.632
12/20/20 23:45:00,5.565,60.225,3.9,9.583
12/21/20 00:00:00,5.437,61.070,3.9,9.460
12/21/20 00:15:00,5.205,60.973,3.9,9.312
12/21/20 00:30:00,4.921,61.242,3.9,9.163
12/21/20 00:45:00,4.610,61.706,3.9,9.015
12/21/20 01:00:00,4.402,61.957,3.9,8.866
12/21/20 01:15:00,4.168,61.802,3.9,8.717
12/21/20 01:30:00,3.958,62.195,3.9,8.618
12/21/20 01:45:00,3.696,62.406,3.9,8.494
12/21/20 02:00:00,3.459,62.678,3.9,8.419
12/21/20 02:15:00,3.221,62.608,3.9,8.170
12/21/20 02:30:00,2.956,62.335,3.9,8.095
12/21/20 02:45:00,2.530,62.006,3.9,7.770
12/21/20 03:00:00,2.155,61.827,11.8,7.695
12/21/20 03:15:00,1.913,61.672,3.9,7.544
12/21/20 03:30:00,1.913,61.899,3.9,7.594
12/21/20 03:45:00,2.074,62.040,3.9,7.619
12/21/20 04:00:00,2.074,62.692,11.8,7.519
12/21/20 04:15:00,1.859,61.861,3.9,7.368
12/21/20 04:30:00,1.507,61.801,3.9,7.142
12/21/20 04:45:00,1.561,62.207,3.9,7.192
12/21/20 05:00:00,1.615,62.103,3.9,7.217
12/21/20 05:15:00,1.453,62.273,74.9,7.066
12/21/20 05:30:00,1.398,62.037,287.8,6.990
12/21/20 05:45:00,2.289,62.078,532.2,7.419
12/21/20 06:00:00,3.749,60.929,674.1,8.145
12/21/20 06:15:00,5.360,59.496,863.3,8.767
12/21/20 06:30:00,7.795,56.933,1052.5,9.731
12/21/20 06:45:00,10.467,54.752,1296.9,11.053
12/21/20 07:00:00,13.137,52.236,2353.3,12.437
12/21/20 07:15:00,15.629,50.956,2006.4,14.146
12/21/20 07:30:00,17.177,49.021,1580.7,14.721
12/21/20 07:45:00,18.675,48.088,2329.7,16.439
12/21/20 08:00:00,18.961,46.895,3662.0,16.487
12/21/20 08:15:00,20.936,46.348,3598.9,18.652
12/21/20 08:30:00,18.438,46.608,2203.5,14.601
12/21/20 08:45:00,17.867,48.987,2195.6,31.842
12/21/20 09:00:00,18.343,47.668,1833.0,20.007
12/21/20 09:15:00,23.280,47.341,4923.4,37.480
12/21/20 09:30:00,28.766,43.462,5317.6,24.581
12/21/20 09:45:00,31.561,40.925,5230.9,23.088
12/21/20 10:00:00,32.872,40.865,5128.4,22.011
12/21/20 10:15:00,32.562,41.333,4978.6,20.865
12/21/20 10:30:00,33.861,41.574,4686.9,20.531
12/21/20 10:45:00,35.662,41.634,5293.9,21.223
12/21/20 11:00:00,36.987,40.966,5908.9,21.700
12/21/20 11:15:00,38.532,39.838,6681.5,22.082
12/21/20 11:30:00,40.200,39.050,6216.3,22.417
12/21/20 11:45:00,40.487,34.590,6184.8,22.561
12/21/20 12:00:00,38.226,34.594,6169.0,21.246
12/21/20 12:15:00,35.555,35.892,4750.0,20.269
12/21/20 12:30:00,32.872,35.741,3961.6,19.294
12/21/20 12:45:00,28.468,35.727,2447.9,17.677
12/21/20 13:00:00,23.088,37.129,2597.7,16.439
12/21/20 13:15:00,20.555,40.036,4095.6,16.034
12/21/20 13:30:00,19.674,41.169,3291.5,15.843
12/21/20 13:45:00,19.888,40.902,5033.8,16.558
